name,record,record_len,accel-system.cpu.numCycles,accel-simInsts,accel-simOps,accel-zeroCount,accel-sameAdd,accel-switchingAdd,accel-sameDiv,accel-switchingDiv,naive-system.cpu.numCycles,naive-simInsts,naive-simOps,naive-zeroCount,naive-sameAdd,naive-switchingAdd,naive-sameDiv,naive-switchingDiv,exit_code
imagenet1k_vitb,91,1000,3181,38,38,141,32,1984,22,978,5473399,64009,64009,0,0,0,0,0,0x00de03e8
imagenet1k_vitb,92,1000,3181,38,38,94,9,2007,7,993,5473538,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,93,1000,3181,38,38,295,127,1889,112,888,5473266,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,94,1000,3181,38,38,55,10,2006,9,991,5473658,64009,64009,0,0,0,0,0,0x007203e8
imagenet1k_vitb,95,1000,3181,38,38,63,13,2003,11,989,5473595,64009,64009,0,0,0,0,0,0x002503e8
imagenet1k_vitb,18,1000,3181,38,38,56,6,2010,6,994,5473511,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,19,1000,3181,38,38,203,60,1956,50,950,5473581,64009,64009,0,0,0,0,0,0x000103e8
imagenet1k_vitb,20,1000,3181,38,38,80,11,2005,10,990,5473645,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,21,1000,3181,38,38,225,56,1960,53,947,5473370,64009,64009,0,0,0,0,0,0x013003e8
imagenet1k_vitb,22,1000,3181,38,38,54,11,2005,9,991,5473533,64009,64009,0,0,0,0,0,0x010903e8
imagenet1k_vitb,23,1000,3181,38,38,125,19,1997,18,982,5473650,64009,64009,0,0,0,0,0,0x03a603e8
imagenet1k_vitb,60,1000,3181,38,38,84,17,1999,13,987,5473583,64009,64009,0,0,0,0,0,0x00cf03e8
imagenet1k_vitb,61,1000,3181,38,38,77,14,2002,12,988,5473645,64009,64009,0,0,0,0,0,0x026803e8
imagenet1k_vitb,62,1000,3181,38,38,112,25,1991,18,982,5473692,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,63,1000,3181,38,38,69,10,2006,8,992,5473419,64009,64009,0,0,0,0,0,0x009903e8
imagenet1k_vitb,64,1000,3181,38,38,88,11,2005,9,991,5473519,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,65,1000,3181,38,38,240,86,1930,74,926,5473353,64009,64009,0,0,0,0,0,0x000303e8
imagenet1k_vitb,48,1000,3181,38,38,76,14,2002,14,986,5473370,64009,64009,0,0,0,0,0,0x017b03e8
imagenet1k_vitb,49,1000,3181,38,38,42,7,2009,6,994,5473413,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,50,1000,3181,38,38,338,158,1858,137,863,5473490,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,51,1000,3181,38,38,131,21,1995,17,983,5473637,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,52,1000,3181,38,38,70,12,2004,11,989,5473517,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,53,1000,3181,38,38,256,115,1901,92,908,5473671,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,36,1000,3181,38,38,293,94,1922,87,913,5473448,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,37,1000,3181,38,38,58,9,2007,9,991,5473560,64009,64009,0,0,0,0,0,0x009703e8
imagenet1k_vitb,38,1000,3181,38,38,49,7,2009,7,993,5473559,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,39,1000,3181,38,38,53,8,2008,8,992,5473658,64009,64009,0,0,0,0,0,0x000303e8
imagenet1k_vitb,40,1000,3181,38,38,78,9,2007,8,992,5473596,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,41,1000,3181,38,38,62,5,2011,5,995,5473483,64009,64009,0,0,0,0,0,0x001003e8
imagenet1k_vitb,66,1000,3181,38,38,57,7,2009,5,995,5473658,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,67,1000,3181,38,38,329,137,1879,121,879,5473469,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,68,1000,3181,38,38,127,20,1996,19,981,5473424,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,69,1000,3181,38,38,135,23,1993,17,983,5473602,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,70,1000,3181,38,38,318,132,1884,119,881,5473433,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,71,1000,3181,38,38,79,14,2002,11,989,5473583,64009,64009,0,0,0,0,0,0x004b03e8
cifar100_vitb,90,100,2079,30,30,10,5,247,3,97,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,91,100,2079,30,30,6,2,250,2,98,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,92,100,2079,30,30,21,17,235,9,91,495273,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,93,100,2079,30,30,12,12,240,11,89,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,94,100,2079,30,30,7,3,249,1,99,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,95,100,2079,30,30,14,14,238,11,89,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,42,100,2079,30,30,11,8,244,5,95,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,43,100,2079,30,30,8,6,246,3,97,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,44,100,2079,30,30,7,2,250,0,100,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,45,100,2079,30,30,9,5,247,3,97,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,46,100,2079,30,30,10,5,247,3,97,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,47,100,2079,30,30,5,3,249,2,98,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,36,100,2079,30,30,5,4,248,3,97,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,37,100,2079,30,30,12,12,240,8,92,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,38,100,2079,30,30,11,7,245,4,96,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,39,100,2079,30,30,10,4,248,3,97,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,40,100,2079,30,30,29,27,225,15,85,495278,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,41,100,2079,30,30,14,13,239,5,95,495297,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,96,100,2079,30,30,32,33,219,15,85,495606,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,97,100,2079,30,30,4,3,249,2,98,495286,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,98,100,2079,30,30,9,4,248,3,97,495349,6410,6410,0,0,0,0,0,0x00000064
